% STATION LAT=  42.36 DEG LONG= -71.09
% ROLLOFF = 12, Mode 4 MATCH = 1
% Each line is the average of 50 scans
% starting recording v>=2.00
% srt.cmd: line 26 : record g120.rad 	
% average of 50 scans
% average of 1 scans
%2017 129 07 55 00 34.0 35.6 0.0 0.0 120.7 0.1 1419.84 0.00781250 4 148
%freq,signal
1419.840,3.70
1419.848,4.10
1419.856,6.10
1419.863,10.60
1419.871,19.00
1419.879,32.10
1419.887,50.90
1419.895,68.40
1419.902,96.80
1419.910,96.60
1419.918,96.90
1419.926,97.00
1419.934,96.80
1419.942,96.70
1419.949,97.20
1419.957,97.10
1419.965,97.00
1419.973,97.00
1419.981,97.50
1419.988,97.40
1419.996,97.80
1420.004,97.40
1420.012,97.70
1420.020,97.70
1420.027,97.40
1420.035,96.90
1420.043,97.70
1420.051,97.70
1420.059,97.80
1420.067,97.60
1420.074,97.60
1420.082,98.00
1420.090,97.70
1420.098,97.40
1420.106,97.90
1420.113,97.70
1420.121,97.90
1420.129,98.40
1420.137,97.90
1420.145,98.10
1420.152,97.70
1420.160,97.90
1420.168,98.00
1420.176,98.00
1420.184,97.80
1420.192,97.90
1420.199,98.10
1420.207,98.10
1420.215,98.00
1420.223,98.00
1420.231,97.70
1420.238,98.10
1420.246,97.70
1420.254,98.10
1420.262,98.10
1420.270,97.70
1420.277,98.40
1420.285,98.10
1420.293,98.10
1420.301,98.40
1420.309,98.40
1420.317,97.90
1420.324,98.30
1420.332,98.40
1420.340,98.60
1420.348,98.90
1420.356,98.30
1420.363,98.70
1420.371,99.00
1420.379,98.80
1420.387,98.60
1420.395,99.50
1420.402,99.50
1420.410,99.30
1420.418,99.80
1420.426,100.50
1420.434,101.30
1420.442,102.70
1420.449,103.90
1420.457,106.20
1420.465,108.50
1420.473,110.00
1420.481,110.30
1420.488,110.40
1420.496,110.90
1420.504,111.20
1420.512,111.20
1420.520,111.50
1420.527,110.70
1420.535,110.40
1420.543,109.40
1420.551,107.70
1420.559,107.10
1420.567,106.00
1420.574,104.90
1420.582,104.20
1420.590,104.10
1420.598,103.10
1420.606,103.10
1420.613,103.90
1420.621,104.10
1420.629,104.30
1420.637,104.40
1420.645,104.50
1420.652,104.90
1420.660,106.00
1420.668,106.00
1420.676,106.70
1420.684,107.80
1420.692,108.30
1420.699,108.90
1420.707,109.20
1420.715,109.70
1420.723,110.10
1420.731,110.20
1420.738,110.00
1420.746,109.70
1420.754,109.50
1420.762,109.60
1420.770,109.80
1420.777,109.10
1420.785,108.50
1420.793,107.70
1420.801,107.60
1420.809,106.40
1420.817,105.50
1420.824,104.20
1420.832,103.40
1420.840,102.60
1420.848,102.30
1420.856,102.00
1420.863,101.90
1420.871,101.60
1420.879,101.70
1420.887,101.70
1420.895,101.40
1420.902,101.30
1420.910,101.80
1420.918,101.70
1420.926,102.10
1420.934,101.90
1420.942,69.00
1420.949,49.50
1420.957,31.20
1420.965,16.90
1420.973,7.60
1420.981,2.60
1420.988,0.60
% Each line is the average of 50 scans
% srt.cmd: line 27 : repeat 50 
% average of 50 scans
% average of 1 scans
%2017 129 08 01 16 34.4 36.2 0.0 0.0 120.7 0.1 1419.84 0.00781250 4 148
%freq,signal
1419.840,3.60
1419.848,4.10
1419.856,6.00
1419.863,10.60
1419.871,19.00
1419.879,32.10
1419.887,51.30
1419.895,68.80
1419.902,96.40
1419.910,96.80
1419.918,96.70
1419.926,96.90
1419.934,96.70
1419.942,96.70
1419.949,96.70
1419.957,96.70
1419.965,97.20
1419.973,97.10
1419.981,97.10
1419.988,97.10
1419.996,97.60
1420.004,97.30
1420.012,97.70
1420.020,97.20
1420.027,97.30
1420.035,97.40
1420.043,97.50
1420.051,97.70
1420.059,97.60
1420.067,97.80
1420.074,97.70
1420.082,97.60
1420.090,97.60
1420.098,97.50
1420.106,98.00
1420.113,97.50
1420.121,97.90
1420.129,97.40
1420.137,98.10
1420.145,97.90
1420.152,98.20
1420.160,97.70
1420.168,98.00
1420.176,97.70
1420.184,98.40
1420.192,97.80
1420.199,97.80
1420.207,97.80
1420.215,98.10
1420.223,97.90
1420.231,97.70
1420.238,97.90
1420.246,98.10
1420.254,97.80
1420.262,97.70
1420.270,98.00
1420.277,97.90
1420.285,98.00
1420.293,98.30
1420.301,97.80
1420.309,98.10
1420.317,98.70
1420.324,98.30
1420.332,98.90
1420.340,98.80
1420.348,99.00
1420.356,98.50
1420.363,98.90
1420.371,98.60
1420.379,98.90
1420.387,99.10
1420.395,99.30
1420.402,99.40
1420.410,99.90
1420.418,99.40
1420.426,100.80
1420.434,101.30
1420.442,102.50
1420.449,103.80
1420.457,106.20
1420.465,108.50
1420.473,110.60
1420.481,111.00
1420.488,110.90
1420.496,110.70
1420.504,111.30
1420.512,110.80
1420.520,111.20
1420.527,110.90
1420.535,110.30
1420.543,109.90
1420.551,108.60
1420.559,107.00
1420.567,106.30
1420.574,105.10
1420.582,104.20
1420.590,104.00
1420.598,103.10
1420.606,103.20
1420.613,103.00
1420.621,103.60
1420.629,103.90
1420.637,104.00
1420.645,104.50
1420.652,104.80
1420.660,105.40
1420.668,105.60
1420.676,106.40
1420.684,107.00
1420.692,107.30
1420.699,108.50
1420.707,108.50
1420.715,109.50
1420.723,109.20
1420.731,109.80
1420.738,109.80
1420.746,109.40
1420.754,109.80
1420.762,108.80
1420.770,109.10
1420.777,108.90
1420.785,108.10
1420.793,108.00
1420.801,106.90
1420.809,106.60
1420.817,105.40
1420.824,104.50
1420.832,103.20
1420.840,102.80
1420.848,102.20
1420.856,101.40
1420.863,101.60
1420.871,101.40
1420.879,101.10
1420.887,101.40
1420.895,101.20
1420.902,101.40
1420.910,101.60
1420.918,101.40
1420.926,101.70
1420.934,101.50
1420.942,68.80
1420.949,49.10
1420.957,30.80
1420.965,16.70
1420.973,7.30
1420.981,2.30
1420.988,0.20
% stopping recording
% last line
