% STATION LAT=  42.36 DEG LONG= -71.09
% ROLLOFF = 12, Mode 4 MATCH = 1
% Each line is the average of 50 scans
% starting recording v>=2.00
% srt.cmd: line 10 : record g135.rad 	
% average of 50 scans
% average of 1 scans
%2017 129 00 28 41 323.0 25.8 0.0 0.0 145.8 0.6 1419.84 0.00781250 4 148
%freq,signal
1419.840,3.70
1419.848,4.20
1419.856,6.20
1419.863,10.80
1419.871,19.40
1419.879,32.70
1419.887,52.00
1419.895,69.70
1419.902,98.20
1419.910,97.70
1419.918,98.60
1419.926,98.60
1419.934,98.60
1419.942,98.60
1419.949,98.40
1419.957,99.00
1419.965,98.90
1419.973,98.70
1419.981,98.80
1419.988,98.90
1419.996,99.50
1420.004,99.60
1420.012,100.20
1420.020,99.10
1420.027,99.50
1420.035,99.00
1420.043,99.10
1420.051,99.30
1420.059,99.40
1420.067,99.40
1420.074,99.00
1420.082,99.20
1420.090,99.10
1420.098,99.40
1420.106,99.50
1420.113,99.30
1420.121,99.80
1420.129,99.30
1420.137,99.50
1420.145,99.60
1420.152,99.70
1420.160,100.20
1420.168,99.60
1420.176,100.00
1420.184,99.70
1420.192,100.10
1420.199,100.10
1420.207,99.90
1420.215,99.70
1420.223,99.50
1420.231,99.70
1420.238,100.30
1420.246,99.90
1420.254,100.10
1420.262,99.80
1420.270,100.00
1420.277,99.40
1420.285,100.00
1420.293,100.50
1420.301,100.50
1420.309,100.20
1420.317,100.60
1420.324,100.80
1420.332,101.70
1420.340,103.00
1420.348,104.10
1420.356,106.00
1420.363,108.20
1420.371,108.90
1420.379,109.50
1420.387,110.50
1420.395,110.30
1420.402,110.60
1420.410,111.10
1420.418,110.20
1420.426,111.30
1420.434,111.10
1420.442,110.50
1420.449,110.10
1420.457,108.80
1420.465,108.00
1420.473,108.00
1420.481,107.20
1420.488,107.40
1420.496,108.40
1420.504,109.00
1420.512,109.70
1420.520,111.30
1420.527,112.90
1420.535,113.80
1420.543,114.40
1420.551,114.60
1420.559,114.60
1420.567,114.30
1420.574,113.20
1420.582,112.20
1420.590,111.60
1420.598,110.70
1420.606,109.30
1420.613,108.80
1420.621,107.40
1420.629,107.10
1420.637,107.10
1420.645,106.10
1420.652,106.40
1420.660,105.40
1420.668,105.10
1420.676,104.40
1420.684,104.20
1420.692,102.70
1420.699,103.30
1420.707,102.50
1420.715,102.80
1420.723,102.50
1420.731,102.20
1420.738,102.60
1420.746,102.30
1420.754,102.40
1420.762,101.80
1420.770,102.00
1420.777,101.70
1420.785,101.30
1420.793,101.60
1420.801,101.20
1420.809,101.20
1420.817,100.80
1420.824,100.60
1420.832,100.80
1420.840,100.50
1420.848,100.20
1420.856,100.40
1420.863,100.30
1420.871,100.50
1420.879,100.70
1420.887,100.40
1420.895,100.50
1420.902,100.30
1420.910,100.20
1420.918,100.30
1420.926,100.20
1420.934,100.10
1420.942,67.90
1420.949,48.40
1420.957,30.20
1420.965,16.20
1420.973,7.00
1420.981,2.10
% Each line is the average of 50 scans
% srt.cmd: line 11 : repeat 50 
% average of 50 scans
% average of 1 scans
%2017 129 00 34 59 323.7 25.2 0.0 0.0 145.8 0.6 1419.84 0.00781250 4 148
%freq,signal
1419.840,3.30
1419.848,3.80
1419.856,5.80
1419.863,10.30
1419.871,19.00
1419.879,32.20
1419.887,51.60
1419.895,69.20
1419.902,98.10
1419.910,98.30
1419.918,98.10
1419.926,97.90
1419.934,98.10
1419.942,98.20
1419.949,98.10
1419.957,98.10
1419.965,98.30
1419.973,98.60
1419.981,98.70
1419.988,98.40
1419.996,99.00
1420.004,98.50
1420.012,99.40
1420.020,98.80
1420.027,98.70
1420.035,98.90
1420.043,98.40
1420.051,98.80
1420.059,99.00
1420.067,98.90
1420.074,98.90
1420.082,98.80
1420.090,99.30
1420.098,99.40
1420.106,99.50
1420.113,99.00
1420.121,99.10
1420.129,99.30
1420.137,99.20
1420.145,99.20
1420.152,99.00
1420.160,99.40
1420.168,99.00
1420.176,99.30
1420.184,99.60
1420.192,99.60
1420.199,99.30
1420.207,99.40
1420.215,99.50
1420.223,99.80
1420.231,99.40
1420.238,99.30
1420.246,99.40
1420.254,99.80
1420.262,99.80
1420.270,100.30
1420.277,100.20
1420.285,100.40
1420.293,100.30
1420.301,100.30
1420.309,100.80
1420.317,101.10
1420.324,101.20
1420.332,101.40
1420.340,102.50
1420.348,104.20
1420.356,106.30
1420.363,107.50
1420.371,108.90
1420.379,110.20
1420.387,110.80
1420.395,110.90
1420.402,111.20
1420.410,110.70
1420.418,110.60
1420.426,111.30
1420.434,110.90
1420.442,110.40
1420.449,109.50
1420.457,108.70
1420.465,108.10
1420.473,107.70
1420.481,107.50
1420.488,107.90
1420.496,108.50
1420.504,108.80
1420.512,109.70
1420.520,111.80
1420.527,113.20
1420.535,114.00
1420.543,114.70
1420.551,114.70
1420.559,114.70
1420.567,114.20
1420.574,113.20
1420.582,112.10
1420.590,111.20
1420.598,110.80
1420.606,109.60
1420.613,108.80
1420.621,107.70
1420.629,107.00
1420.637,106.70
1420.645,106.30
1420.652,106.00
1420.660,106.00
1420.668,105.00
1420.676,104.60
1420.684,103.50
1420.692,103.00
1420.699,102.70
1420.707,102.60
1420.715,102.70
1420.723,102.90
1420.731,102.50
1420.738,102.30
1420.746,102.50
1420.754,102.20
1420.762,101.80
1420.770,102.00
1420.777,101.60
1420.785,101.50
1420.793,101.90
1420.801,100.90
1420.809,101.10
1420.817,100.90
1420.824,101.00
1420.832,100.50
1420.840,101.00
1420.848,100.50
1420.856,100.80
1420.863,100.90
1420.871,100.60
1420.879,100.60
1420.887,100.40
1420.895,100.80
1420.902,100.50
1420.910,100.80
1420.918,100.40
1420.926,100.20
1420.934,100.30
1420.942,67.70
1420.949,48.60
1420.957,30.40
1420.965,16.30
1420.973,7.10
1420.981,2.20
1420.988,0.10
% stopping recording
% last line
