% STATION LAT=  42.36 DEG LONG= -71.09
% ROLLOFF = 12, Mode 4 MATCH = 1
% Each line is the average of 50 scans
% starting recording v>=2.00
% srt.cmd: line 10 : record g100.rad 	
% average of 50 scans
% average of 1 scans
%2017 129 06 14 26 45.8 37.7 0.0 0.0 100.8 -0.5 1419.84 0.00781250 4 148
%freq,signal
1419.840,4.10
1419.848,4.50
1419.856,6.50
1419.863,11.00
1419.871,19.40
1419.879,32.60
1419.887,51.60
1419.895,68.80
1419.902,97.80
1419.910,97.40
1419.918,97.60
1419.926,97.00
1419.934,97.60
1419.942,97.70
1419.949,97.30
1419.957,97.70
1419.965,97.50
1419.973,97.90
1419.981,98.30
1419.988,98.10
1419.996,98.80
1420.004,98.30
1420.012,98.50
1420.020,98.40
1420.027,98.30
1420.035,98.00
1420.043,98.50
1420.051,98.20
1420.059,98.20
1420.067,98.20
1420.074,98.30
1420.082,98.20
1420.090,98.60
1420.098,98.70
1420.106,98.50
1420.113,98.20
1420.121,98.40
1420.129,98.50
1420.137,98.90
1420.145,98.60
1420.152,98.30
1420.160,98.30
1420.168,98.60
1420.176,98.50
1420.184,98.80
1420.192,98.90
1420.199,98.70
1420.207,99.00
1420.215,98.70
1420.223,98.80
1420.231,98.40
1420.238,98.50
1420.246,98.60
1420.254,98.60
1420.262,98.50
1420.270,98.30
1420.277,98.10
1420.285,98.20
1420.293,98.60
1420.301,98.40
1420.309,98.60
1420.317,98.90
1420.324,98.40
1420.332,98.90
1420.340,98.80
1420.348,99.10
1420.356,99.00
1420.363,98.90
1420.371,98.90
1420.379,99.00
1420.387,99.10
1420.395,99.10
1420.402,99.20
1420.410,98.90
1420.418,99.20
1420.426,99.70
1420.434,99.50
1420.442,99.50
1420.449,99.80
1420.457,100.20
1420.465,100.80
1420.473,101.40
1420.481,102.10
1420.488,103.10
1420.496,105.10
1420.504,107.60
1420.512,109.60
1420.520,112.20
1420.527,113.90
1420.535,112.90
1420.543,112.60
1420.551,112.40
1420.559,111.70
1420.567,111.20
1420.574,111.00
1420.582,109.80
1420.590,109.40
1420.598,108.00
1420.606,107.70
1420.613,107.30
1420.621,107.50
1420.629,107.30
1420.637,106.80
1420.645,106.60
1420.652,105.70
1420.660,105.00
1420.668,105.10
1420.676,104.70
1420.684,104.70
1420.692,104.60
1420.699,105.40
1420.707,105.90
1420.715,106.50
1420.723,106.40
1420.731,106.50
1420.738,106.50
1420.746,106.30
1420.754,105.90
1420.762,106.10
1420.770,106.10
1420.777,105.90
1420.785,106.30
1420.793,107.50
1420.801,106.90
1420.809,107.50
1420.817,107.80
1420.824,107.60
1420.832,108.40
1420.840,108.10
1420.848,108.00
1420.856,107.40
1420.863,107.10
1420.871,106.80
1420.879,106.20
1420.887,105.90
1420.895,104.60
1420.902,104.10
1420.910,103.30
1420.918,103.50
1420.926,102.70
1420.934,102.20
1420.942,69.50
1420.949,49.60
1420.957,31.00
1420.965,16.60
1420.973,7.20
1420.981,2.20
1420.988,0.10
% Each line is the average of 50 scans
% srt.cmd: line 11 : repeat 50 
% average of 50 scans
% average of 1 scans
%2017 129 06 20 42 46.2 38.7 0.0 0.0 100.7 -0.5 1419.84 0.00781250 4 148
%freq,signal
1419.840,3.70
1419.848,4.20
1419.856,6.20
1419.863,10.70
1419.871,19.20
1419.879,32.20
1419.887,51.30
1419.895,68.60
1419.902,96.80
1419.910,97.30
1419.918,97.20
1419.926,96.80
1419.934,97.00
1419.942,97.30
1419.949,97.00
1419.957,97.20
1419.965,97.70
1419.973,97.50
1419.981,97.60
1419.988,97.50
1419.996,98.50
1420.004,97.90
1420.012,99.00
1420.020,97.70
1420.027,98.10
1420.035,97.70
1420.043,97.70
1420.051,97.30
1420.059,98.10
1420.067,97.50
1420.074,97.50
1420.082,97.90
1420.090,97.70
1420.098,98.00
1420.106,98.10
1420.113,98.00
1420.121,98.20
1420.129,98.10
1420.137,98.80
1420.145,98.10
1420.152,98.30
1420.160,98.00
1420.168,98.10
1420.176,98.20
1420.184,97.90
1420.192,98.50
1420.199,98.10
1420.207,98.30
1420.215,98.20
1420.223,98.80
1420.231,98.70
1420.238,98.40
1420.246,98.50
1420.254,98.10
1420.262,98.10
1420.270,98.00
1420.277,98.50
1420.285,98.70
1420.293,98.20
1420.301,98.60
1420.309,98.40
1420.317,98.50
1420.324,98.60
1420.332,98.50
1420.340,98.80
1420.348,98.80
1420.356,98.40
1420.363,98.70
1420.371,99.00
1420.379,98.80
1420.387,98.80
1420.395,99.20
1420.402,98.80
1420.410,99.50
1420.418,99.10
1420.426,98.90
1420.434,99.70
1420.442,100.00
1420.449,99.80
1420.457,100.30
1420.465,101.00
1420.473,101.70
1420.481,101.90
1420.488,102.80
1420.496,105.20
1420.504,107.60
1420.512,110.10
1420.520,112.80
1420.527,113.00
1420.535,113.00
1420.543,112.50
1420.551,112.20
1420.559,111.40
1420.567,111.30
1420.574,110.50
1420.582,109.70
1420.590,109.00
1420.598,108.60
1420.606,107.00
1420.613,107.50
1420.621,107.30
1420.629,106.90
1420.637,106.80
1420.645,106.50
1420.652,105.40
1420.660,104.90
1420.668,104.80
1420.676,104.70
1420.684,104.30
1420.692,104.80
1420.699,105.00
1420.707,105.30
1420.715,105.50
1420.723,105.80
1420.731,106.00
1420.738,105.80
1420.746,105.80
1420.754,105.50
1420.762,105.40
1420.770,105.90
1420.777,106.50
1420.785,106.40
1420.793,106.90
1420.801,106.30
1420.809,107.30
1420.817,107.70
1420.824,108.10
1420.832,107.90
1420.840,107.50
1420.848,107.80
1420.856,107.60
1420.863,107.00
1420.871,106.90
1420.879,106.00
1420.887,105.20
1420.895,104.50
1420.902,103.80
1420.910,103.70
1420.918,103.30
1420.926,103.00
1420.934,102.70
1420.942,68.80
1420.949,49.50
1420.957,31.00
1420.965,16.60
1420.973,7.20
1420.981,2.20
% stopping recording
% last line
