% STATION LAT=  42.36 DEG LONG= -71.09
% ROLLOFF = 12, Mode 4 MATCH = 1
% Each line is the average of 50 scans
% starting recording v>=2.00
% srt.cmd: line 18 : record g110.rad 	
% average of 50 scans
% average of 1 scans
%2017 129 07 04 41 38.8 37.9 0.0 0.0 110.8 -0.2 1419.84 0.00781250 4 148
%freq,signal
1419.840,3.50
1419.848,4.00
1419.856,5.90
1419.863,10.40
1419.871,18.80
1419.879,31.90
1419.887,50.90
1419.895,67.80
1419.902,97.00
1419.910,96.40
1419.918,96.60
1419.926,96.50
1419.934,96.70
1419.942,96.80
1419.949,97.00
1419.957,96.90
1419.965,96.70
1419.973,97.20
1419.981,97.30
1419.988,97.10
1419.996,98.30
1420.004,97.30
1420.012,99.50
1420.020,97.30
1420.027,97.10
1420.035,97.10
1420.043,97.20
1420.051,97.30
1420.059,97.50
1420.067,97.50
1420.074,97.20
1420.082,97.60
1420.090,97.30
1420.098,97.60
1420.106,97.40
1420.113,97.90
1420.121,97.60
1420.129,98.00
1420.137,97.80
1420.145,97.90
1420.152,97.60
1420.160,97.70
1420.168,98.20
1420.176,97.70
1420.184,98.00
1420.192,97.50
1420.199,97.60
1420.207,98.00
1420.215,97.90
1420.223,98.10
1420.231,97.50
1420.238,97.80
1420.246,97.80
1420.254,97.50
1420.262,97.60
1420.270,98.10
1420.277,98.20
1420.285,98.20
1420.293,98.20
1420.301,98.40
1420.309,98.40
1420.317,98.60
1420.324,98.50
1420.332,98.50
1420.340,98.70
1420.348,98.80
1420.356,98.70
1420.363,98.90
1420.371,98.60
1420.379,98.90
1420.387,99.00
1420.395,99.40
1420.402,99.20
1420.410,99.00
1420.418,99.30
1420.426,99.50
1420.434,100.40
1420.442,100.50
1420.449,100.80
1420.457,101.30
1420.465,103.40
1420.473,105.00
1420.481,106.60
1420.488,108.50
1420.496,110.40
1420.504,112.40
1420.512,113.70
1420.520,114.40
1420.527,114.30
1420.535,114.00
1420.543,113.20
1420.551,112.40
1420.559,111.00
1420.567,109.10
1420.574,107.20
1420.582,105.80
1420.590,104.40
1420.598,102.70
1420.606,102.10
1420.613,102.10
1420.621,101.70
1420.629,102.00
1420.637,102.40
1420.645,102.00
1420.652,102.30
1420.660,102.60
1420.668,103.10
1420.676,103.50
1420.684,103.90
1420.692,104.40
1420.699,104.60
1420.707,105.40
1420.715,107.00
1420.723,107.90
1420.731,108.50
1420.738,109.30
1420.746,109.40
1420.754,110.10
1420.762,109.00
1420.770,109.30
1420.777,108.80
1420.785,108.20
1420.793,107.70
1420.801,107.80
1420.809,106.70
1420.817,106.50
1420.824,105.90
