1419.840,3.40
1419.848,3.90
1419.856,6.00
1419.863,11.00
1419.871,20.20
1419.879,34.50
1419.887,55.30
1419.895,74.30
1419.902,105.40
1419.910,105.30
1419.918,105.50
1419.926,105.60
1419.934,105.90
1419.942,106.10
1419.949,105.50
1419.957,105.70
1419.965,105.70
1419.973,106.30
1419.981,106.40
1419.988,107.40
1419.996,107.40
1420.004,106.90
1420.012,109.30
1420.020,106.60
1420.027,106.50
1420.035,106.20
1420.043,106.30
1420.051,106.30
1420.059,106.20
1420.067,106.30
1420.074,106.40
1420.082,106.40
1420.090,107.00
1420.098,106.60
1420.106,106.50
1420.113,106.70
1420.121,107.10
1420.129,106.70
1420.137,107.20
1420.145,107.10
1420.152,107.40
1420.160,106.60
1420.168,106.70
1420.176,107.00
1420.184,107.00
1420.192,107.00
1420.199,107.00
1420.207,107.00
1420.215,107.10
1420.223,107.40
1420.231,107.20
1420.238,107.60
1420.246,108.10
1420.254,108.10
1420.262,108.50
1420.270,109.20
1420.277,110.30
1420.285,111.50
1420.293,113.30
1420.301,114.80
1420.309,116.40
1420.317,117.30
1420.324,117.50
1420.332,118.30
1420.340,119.20
1420.348,119.50
1420.356,120.40
1420.363,120.40
1420.371,121.00
1420.379,120.40
1420.387,120.90
1420.395,121.00
1420.402,121.50
1420.410,121.60
1420.418,121.60
1420.426,121.00
1420.434,120.50
1420.442,120.30
1420.449,119.90
1420.457,119.20
1420.465,119.70
1420.473,118.70
1420.481,117.30
1420.488,116.90
1420.496,116.60
1420.504,115.70
1420.512,114.50
1420.520,114.30
1420.527,113.70
1420.535,112.70
1420.543,112.30
1420.551,112.00
1420.559,111.30
1420.567,111.30
1420.574,111.10
1420.582,110.10
1420.590,110.20
1420.598,109.70
1420.606,109.80
1420.613,109.90
1420.621,109.60
1420.629,109.50
1420.637,109.40
1420.645,109.20
1420.652,109.10
1420.660,108.70
1420.668,109.00
1420.676,109.10
1420.684,109.00
1420.692,109.30
1420.699,108.70
1420.707,108.40
1420.715,108.20
1420.723,109.00
1420.731,109.00
1420.738,109.10
1420.746,108.90
1420.754,109.20
1420.762,108.60
1420.770,108.80
1420.777,109.40
1420.785,108.60
1420.793,109.60
1420.801,109.60
1420.809,109.20
1420.817,108.60
1420.824,108.40
1420.832,108.70
1420.840,109.10
1420.848,108.80
1420.856,109.50
1420.863,108.80
1420.871,108.90
1420.879,109.20
1420.887,108.40
1420.895,109.00
1420.902,109.20
1420.910,109.30
1420.918,108.80
1420.926,109.20
1420.934,109.60
1420.942,73.80
1420.949,53.30
1420.957,33.50
1420.965,18.50
1420.973,8.50
1420.981,3.30
1420.988,1.00
