% STATION LAT=  42.36 DEG LONG= -71.09
% ROLLOFF = 12, Mode 4 MATCH = 1
% Each line is the average of 50 scans
% starting recording v>=2.00
% srt.cmd: line 9 : record g10.rad 0
% average of 50 scans
%2017 128 06 41 41 161.3 25.2 0.0 0.0 10.8 -1.4 1419.84 0.00781250 4 148
%freq	signal
1419.84000	4.0
1419.84781	4.5
1419.85562	6.7
1419.86344	11.5
1419.87125	20.7
1419.87906	34.7
1419.88687	55.4
1419.89469	74.3
1419.90250	105.3
1419.91031	105.1
1419.91812	105.3
1419.92594	105.2
1419.93375	105.1
1419.94156	105.5
1419.94937	105.2
1419.95719	105.3
1419.96500	105.1
1419.97281	105.8
1419.98062	105.7
1419.98844	106.2
1419.99625	107.4
1420.00406	106.1
1420.01187	111.9
1420.01969	106.2
1420.02750	105.7
1420.03531	105.5
1420.04312	105.4
1420.05094	106.1
1420.05875	105.9
1420.06656	105.9
1420.07437	106.0
1420.08219	105.8
1420.09000	105.5
1420.09781	106.1
1420.10562	106.3
1420.11344	106.3
1420.12125	105.9
1420.12906	106.8
1420.13687	106.1
1420.14469	106.3
1420.15250	106.6
1420.16031	107.0
1420.16812	106.7
1420.17594	106.3
1420.18375	106.3
1420.19156	106.5
1420.19937	106.5
1420.20719	106.5
1420.21500	106.4
1420.22281	107.0
1420.23062	106.3
1420.23844	106.8
1420.24625	107.3
1420.25406	107.0
1420.26187	107.0
1420.26969	107.6
1420.27750	107.3
1420.28531	107.3
1420.29312	107.6
1420.30094	107.9
1420.30875	108.2
1420.31656	108.6
1420.32437	109.1
1420.33219	109.4
1420.34000	109.7
1420.34781	110.6
1420.35562	110.2
1420.36344	110.5
1420.37125	111.9
1420.37906	112.1
1420.38687	112.2
1420.39469	113.1
1420.40250	114.1
1420.41031	114.6
1420.41812	115.0
1420.42594	115.6
1420.43375	116.4
1420.44156	116.7
1420.44937	117.8
1420.45719	117.9
1420.46500	119.1
1420.47281	119.8
1420.48062	120.0
1420.48844	121.7
1420.49625	121.8
1420.50406	122.3
1420.51187	122.8
1420.51969	123.6
1420.52750	123.2
1420.53531	122.5
1420.54312	121.2
1420.55094	120.9
1420.55875	121.2
1420.56656	122.8
1420.57437	121.7
1420.58219	119.9
1420.59000	118.6
1420.59781	116.3
1420.60562	115.2
1420.61344	114.8
1420.62125	114.1
1420.62906	113.7
1420.63687	113.6
1420.64469	113.0
1420.65250	113.3
1420.66031	113.3
1420.66812	112.6
1420.67594	112.0
1420.68375	111.5
1420.69156	110.7
1420.69937	110.5
1420.70719	109.2
1420.71500	108.8
1420.72281	108.1
1420.73062	107.6
1420.73844	107.2
1420.74625	106.6
1420.75406	106.6
1420.76187	106.4
1420.76969	106.0
1420.77750	106.3
1420.78531	106.0
1420.79312	106.1
1420.80094	106.0
1420.80875	105.8
1420.81656	105.3
1420.82437	105.4
1420.83219	105.3
1420.84000	105.2
1420.84781	106.0
1420.85562	104.9
1420.86344	105.5
1420.87125	105.6
1420.87906	105.4
1420.88687	104.8
1420.89469	105.5
1420.90250	105.5
1420.91031	105.4
1420.91812	105.4
1420.92594	105.0
1420.93375	105.4
1420.94156	70.9
1420.94937	50.3
1420.95719	31.0
1420.96500	16.1
1420.97281	6.3
1420.98062	1.2
1420.98844	-1.0
% Each line is the average of 50 scans
% srt.cmd: line 10 : repeat 50
% average of 50 scans
%2017 128 06 47 58 162.7 25.5 0.0 0.0 10.8 -1.4 1419.84 0.00781250 4 148
%freq	signal
1419.84000	4.1
1419.84781	4.7
1419.85562	6.8
1419.86344	11.7
1419.87125	20.8
1419.87906	35.0
1419.88687	55.4
1419.89469	74.0
1419.90250	105.3
1419.91031	104.4
1419.91812	105.0
1419.92594	105.0
1419.93375	105.5
1419.94156	104.5
1419.94937	105.5
1419.95719	105.4
1419.96500	105.8
1419.97281	105.9
1419.98062	105.5
1419.98844	105.9
1419.99625	107.6
1420.00406	106.7
1420.01187	113.5
1420.01969	105.8
1420.02750	106.3
1420.03531	105.9
1420.04312	106.0
1420.05094	106.5
1420.05875	105.8
1420.06656	106.1
1420.07437	105.7
1420.08219	106.1
1420.09000	106.1
1420.09781	106.2
1420.10562	106.5
1420.11344	106.8
1420.12125	106.5
1420.12906	106.6
1420.13687	106.8
1420.14469	106.5
1420.15250	106.2
1420.16031	106.3
1420.16812	106.6
1420.17594	106.8
1420.18375	107.0
1420.19156	106.9
